Nombre del Producto,Descripción,Fabricante,Id del Articulo,Precio del producto,Nombre de Imagen
Office 365 Business Premium,Suscripcion,Microsoft,031c9-e47.,10.53,365
Azure Active Directory Basic  Government Pricing,A robust set of capabilities to empower organizations with more demanding needs on identity and access management.,Microsoft,0a798-3cd.,0.89,Azure
Exchange Online Protection  Government Pricing,Advanced anti-malware and anti-spam protection for email deployments.,Microsoft,0cca4-4d6.,0.89,Default
Project Pro for Office 365 (Government Pricing),Sin descripción,Microsoft,11e3c-9a9.,22.22,365
Skype for Business Online  Plan 2,"Unified communications plan with advanced capabilities including enterprise Instant Messaging, Presence and online meetings with audio and video conferencing and multiparty data sharing.",Microsoft,14c61-739.,4.63,Default
Autodesk AutoCAD Commercial Single-user Annual Subscription Renewal Recurring with Basic Support,Autodesk AutoCAD Commercial Single-user Annual Subscription Renewal Recurring with Basic Support,Autodesk,001I1-004640-T585,1175,Autocad
Autodesk AutoCAD 2017 Commercial New Single-user Additional Seat Annual Auto-Renew Subscription with,Autodesk AutoCAD 2017 Commercial New Single-user Additional Seat Annual Auto-Renew Subscription with Advanced Support,Autodesk,001I1-003126-T227,1225,Autocad
AutoCAD Commercial Single-user Monthly Subscription Renewal Recurring,Autodesk AutoCAD Commercial Single-user Monthly Subscription Renewal Recurring with Advanced Support,Autodesk,001I1-001563-T142,160,Autocad
Autodesk AutoCAD 2017 Commercial New Single-user Additional Seat Annual Auto-Renew Subscription with,Autodesk AutoCAD 2017 Commercial New Single-user Additional Seat Annual Auto-Renew Subscription with Advanced Support SPZD,Autodesk,001I1-006876-T671,1225,Autocad
Autodesk AutoCAD 2017 Commercial New Single-user Additional Seat Monthly Auto-Renew Subscription wit,Autodesk AutoCAD 2017 Commercial New Single-user Additional Seat Monthly Auto-Renew Subscription with Advanced Support,Autodesk,001I1-006286-T605,155,Autocad
VCPP 1800 Monthly Rental overage charges,Sin descripción,VMWARE,VSPP-1800-1-RENT-S,0.9,Vmware
VCPP 3600 Monthly Rental overage charges,Sin descripción,VMWARE,VSPP-3600-1-RENT-S,0.78,Vmware
VCPP 10800 Monthly Rental overage charges,Sin descripción,VMWARE,VSPP-10800-1-RENT-S,0.72,Vmware
VCPP 18000 Monthly Rental overage charges,Sin descripción,VMWARE,VSPP-18000-1-RENT-S,0.66,Vmware
VCPP 30000 Monthly Rental overage charges,Sin descripción,VMWARE,VSPP-30000-1-RENT-S,0.6,Vmware
